title	description	Authors	Source	Publication Month	Publication Day	Publication Year
"\"15 minutes pour convaincre\" : l'atmosphère à quelques minutes du dernier grand oral des candidats"	"Les onze candidats à la présidentielle auront \"15 minutes pour convaincre\" ce jeudi 20 avril à 20 heures sur France 2. Jean-Baptiste Marteau est dans les coulisses à quelques minutes du début de l'émission.L’ultime rendez-vous présidentiel de France 2 réunissant les onze candidats à la présidentielle aura lieu ce jeudi 20 avril à 20 heures. À quelques minutes de l'émission, Jean-Baptiste Mateau est dans les coulisses pour nous décrire l'atmosphère qui y règne. \"Les arrivées se succèdent depuis 19 heures, mais ils ne sont que trois pour l'instant à être arrivés. Il s'agit de Jean-Luc Mélenchon, Marine Le Pen et Nathalie Arthaud\", précise le journaliste en direct de Saint-Cloud (Hauts-de-Seine). Jean-Luc Mélenchon, premier à parler Ils sont déposés en voiture. \"Le studio se trouve sur la droite, mais avant ça il y a un passage au premier et au deuxième étage où se trouve l'horloge respective. En théorie, tout est fait pour que les candidats ne se croisent pas dans les coulisses avant la conclusion de l'émission. Le premier à parler, ce sera Jean-Luc Mélenchon, dans cinq minutes maintenant\", conclut le journaliste."	Elsa Pallot	France 2	4	20	2017
"\"4 à table\" : manger des crustacés pour moins de 30 euros !"	GASTRONOMIE - À Oléron, un chef relève le défi proposé par TF1. Concocter un menu frais et équilibré à base de produits de la mer pour quatre personnes et pour moins de 30 euros.  Ce reportage est issu du journal télévisé de 13h du 4 novembre 2017 présenté par Anne-Claire Coudray sur TF1. Vous retrouverez au programme du JT de 13h du 04/11/2017 des sujets sur l’actualité, des reportages en régions ainsi que des enquêtes sur les sujets qui concernent le quotidien des Français.	""	TF1	11	4	2017
"\"A vendre. Cause : éolienne\" : le ras-le-bol des habitants de Montagne-Fayel face aux nuisances"	"Cela ressemble à une petite annonce, et pourtant, c'est un cri de protestation : dans la Somme, le village de Montagne-Fayel est à vendre.A Montagne-Fayel (Somme), les panonceaux fleurissent sur les façades des maisons : \"A vendre. Cause : éoliennes\". Une façon pour les habitants d'afficher leur ras-le-bol. L'extrême proximité des éoliennes, à 600 mètres des riverains, provoque depuis deux ans des nuisances parfois inattendues. \"On ne peut pas utiliser à 100% les outils qu'on possède, avec des nouvelles technologies, à cause de l'orientation des champs magnétiques ou l'orientation des pals. C'est un sujet que les constructeurs découvrent, et il n'y a aucune solution apportée\", explique Thierry Pouret, agriculteur à Montagne-Fayel. 20 000 euros pour la commune Jean-Marie Bachelet, lui, a une grande véranda, qui fait caisse de résonance : \"Il est impossible de se parler à un mètre de distance\". Autour du village, les projets et les parcs éoliens se multiplient. 50 mâts, déjà implantés dans un rayon de 7 kilomètres autour de Montagne-Fayel, et une soixantaine en prévision. Le maire, lui, ne comprend pas cette levée de boucliers : en 2018, sa commune percevra 20 000 euros grâce à son parc éolien."	Pierre-Yves Grenu	France 3	6	10	2017
"\"Affaire Penelope Fillon\" : les réactions politiques"	"Les explications télévisées de François Fillon hier, jeudi 26 janvier, au sujet de son épouse dans le cadre de soupçons d'emploi fictif pesant sur elle ont été commentées par la classe politique.À ce stade, c'est de la politique-fiction, mais déjà ce vendredi 27 janvier au matin, Alain Juppé était interrogé sur son avenir en cas de retrait de François Fillon. \"La primaire a eu lieu, les électeurs se sont prononcés de la manière la plus claire qui soit et je n'ai pas l'intention de me lancer dans une opération de repêchage\", a déclaré le maire de Bordeaux (Gironde). Pour Nathalie Kosciusko-Morizet, ex-candidate elle aussi, l'émergence de \"l'affaire Penelope Fillon\", comme elle l'appelle, ne relève pas du hasard. La liberté parlementaire en principe C'est la ligne de défense des candidats de la droite. \"Tout ça n'est pas innocent, on est à quelques jours du grand meeting et du vrai lancement de campagne. On se retrouve avec une polémique et on peut se demander pourquoi ça sort là\", s'interroge Nathalie Kosciusko-Morizet. Côté Front national, alors que Marine Le Pen va devoir verser 300 000 euros au Parlement européen pour deux emplois fictifs d'assistants, on érige la liberté des parlementaires en principe. Ségélone Royal, comme d'autres, estime que les parlementaires ne devraient plus pouvoir embaucher leurs proches."	Thomas Horeau	France 2	1	27	2017
"\"Au fil du lac\" : Salagou"	"Notre série de l'été \"Au fil du lac\" nous emmène ce soir dans l'Hérault, au nord de Montpellier, au lac de Salagou.Un paysage de bout du monde, un désert rouge au coeur de l'Hérault, et au milieu, un lac : le Salagou. Seule étendue d'eau dans ce territoire aride, un lac crée par l'homme dans les années soixante pour irriguer les terres. 27 kilomètres de sentiers entourent le lac : \"On est sur un ancien volcan qui a entièrement été érodé\", explique Laure Charpentier, guide et accompagnatrice de randonnée. Un village fantôme Un lieu chargé d'Histoire et de curiosités. Sur les rives se trouve un village fantôme, le village de Sel. Il aurait dû être englouti par la mise en eau du lac. Ses habitants ont été chassés, mais il n'a jamais été inondé. Au Salagou, les espèces animales se sont adaptées à la terre colorée, comme cette écrevisse colorée ou les criquets, qui ont adopté une la couleur rouge de la terre afin de se fondre dans le décor et échapper aux carnivores."	Philippe Denis	France 3	7	26	2017
"\"Au lieu de foutre le bordel...\" : la petite phrase d’Emmanuel Macron suscite l’indignation"	L'essentiel En déplacement en Corrèze mercredi, Emmanuel Macron s’est laissé aller à quelques commentaires acerbes sur des salariés du groupe GM&S, lesquels manifestaient avec vigueur à Egletons. De quoi susciter une vive polémique que le président a tenté d’éteindre tant bien que mal.  Ce reportage est issu du journal télévisé de 20h du 5 octobre 2017 présenté par Gilles Bouleau sur TF1. Vous retrouverez au programme du JT de 20h du 05/10/2017 des sujets sur l’actualité, des reportages en régions ainsi que des enquêtes sur les sujets qui concernent le quotidien des Français.	""	TF1	10	4	2017
"\"Au plus près\" : Saint-Philibert, une commune indécise"	"France 3 s’est rendue dans le Morbihan, à Saint-Philibert, une commune où le taux de participation est traditionnellement très élevé. Mais cette année, les habitants sont indécis.\"Pour moi, on a une voix à exprimer, j’estime qu’on doit l’utiliser, alors je voterai\", ou \"On écoute même plus ce qu’ils disent, l’un ou l’autre, ça ne changera pas grand-chose à notre échelle\". Voilà les deux visions de l’élection présidentielle qui s’affrontent cette année à Saint-Philibert (Morbihan), où plus de 90% des habitants avaient voté lors du dernier scrutin. Mais même ici, l’indécision règne, à quelques jours du premier tour. Une forte abstention chez les jeunes ? Dans la crêperie, sans surprise, à l’heure du café, on parle politique. \"Je vais voter pour le plus beau\", rit une cliente. La fille de la gérante, qui travaille au restaurant, précise : \"On ne sait toujours pas pour qui voter, on est complètement perdu dans les programmes… Moi, je m’inquiète pour l’avenir\". Elle redoute une forte abstention chez les jeunes. Son frère, qui travaille lui aussi dans la crêperie, votera sûrement blanc : \"Ils sont tous plus corrompus les uns que les autres…\""	Philippe Denis	France 3	4	15	2017
"\"Aurore\" : la seconde jeunesse d'une cinquantenaire"	"Au-delà d'un certain âge, on devient invisible. C'est ce que dit l'actrice Agnès Jaoui qui interprète \"Aurore\" au cinéma. Cette femme de 50 ans entre dans la ménopause, va devenir grand-mère mais va trouver une seconde jeunesse.Ménopause, un mot aussi tabou que l'état qu'il désigne. En racontant l'histoire d'Aurore, séparée de son mari et bientôt grand-mère, la réalisatrice Blandine Lenoir a voulu mettre en lumière une catégorie de la population aussi ignorée que répandue. \"J'aime beaucoup l'idée de mettre les pieds dans le plat\", affirme l'actrice Agnès Jaoui, 52 ans. \"Elle ne se laisse pas abattre et continue sa quête du bonheur parce qu'il reste quelques années à vivre encore\", affirme l'actrice. Un sujet très peu abordé Si le sujet peut faire peur, le film, qui sort mercredi 26 avril au cinéma, l'aborde avec tendresse et surtout beaucoup d'humour. Le message du film est simple : ne pas s'apitoyer sur son sort. Voilà pourquoi Aurore, film lumineux, peut amuser et toucher tous les publics, quel que soit leur sexe et leur âge."	Pierre-Yves Grenu	France 3	4	26	2017
"\"Bordel\" évoqué par Emmanuel Macron : le président assume-t-il ses propos ?"	"La polémique ne cesse d’enfler autour de la phrase prononcée par Emmanuel Macron au sujet des salariés de GM&S. Le journaliste Jeff Wittenberg, en direct de l’Élysée, revient sur la manière dont la controverse est gérée par le gouvernement.\"À l’heure où nous parlons, on peut dire que le président assume ses propos même s’il y a eu deux temps après qu’on ait connu cette petite phrase que certains ont jugée maladroite\", explique le journaliste Jeff Wittenberg en direct de l’Élysée. \"En tout cas hier soir en Corrèze, il y avait un petit peu de flottement, même un peu de tension autour du président. On expliquait qu’il ne visait pas les salariés de GM&S. Quand il s’est avéré (…) qu’on ne voit pas bien qui il pouvait viser d’autre par cette expression, l’entourage d’Emmanuel Macron a décidé d’assumer, de reconnaître que c’était la façon dont il parlait.\" Un \"dossier suivi précisément\" Du côté de l’Élysée, \"On estime aussi que les salariés de GM&S ont déjà rencontré le président\", explique Jeff Wittenberg, \"que le ministre de l’Économie Bruno Le Maire les a vus à plusieurs reprises, et que donc ce dossier est suivi précisément, et sur le fond, avec l’État.\""	Thomas Horeau	France 2	10	5	2017
"\"C'est la honte pour la France\" : à Saint-Martin, la colère des sinistrés qui attendent d'être évacués"	"Excédés, certains sinistrés ont tenté de forcer le passage aux gendarmes pour rejoindre les avions. France 2 était sur place.Pour les sinistrés souhaitant être évacués de l'île de Saint-Martin, l'attente est interminable. \"Nous laisser comme ça, comme des animaux, c'est la honte pour la France, s'est indigné l'un d'entre eux, mardi 12 septembre, devant les caméras de France 2. La honte suprême. Aucune organisation, c'est zéro.\" >> DIRECT. Suivez la visite d'Emmanuel Macron à Saint-Martin \"Depuis ce matin on pète les plombs\" Jusque-là, les vols n'ont pas permis de prendre en charge tous les sinistrés, réfugiés sous des tentes, après le passage de l'Ouragan Irma, qui a fait dix morts dans les Antilles françaises. Excédés, certains ont tenté de forcer le passage aux gendarmes pour rejoindre le tarmac. \"Depuis ce matin, on pète les plombs. On en a ras-le-bol\", s'exclame un d'entre eux, à quelques heures de l'arrivée d'Emmanuel Macron sur l'île sinistrée."	Thomas Horeau	France 2	9	12	2017
